#{"t_start": 1744474027.4937506, "env_id": "None"}
r,l,t
-420.322834,100,3.311008
-339.157656,100,5.330294
-386.396254,100,7.254053
-341.391955,100,9.155626
-304.293574,100,11.080711
-294.417881,100,12.986768
-124.010318,77,14.450087
-314.015132,100,16.302477
-365.525322,100,18.222459
-321.15736,100,20.280541
-324.309716,100,22.573981
-297.215925,100,24.797267
-292.895772,100,27.032249
-307.940868,100,29.235052
-319.457687,100,31.385062
-383.120498,100,33.595473
-266.743346,100,35.797478
-294.109155,100,38.103059
-351.022849,100,40.352404
-385.061875,100,42.569926
-372.019626,100,44.773087
-333.811895,100,47.004176
-320.590016,100,49.18762
-158.400143,79,50.962367
-271.945376,100,53.152475
-309.254149,100,55.331779
-323.464048,100,57.587697
-278.252003,100,59.837364
-274.695251,100,62.103202
-311.100533,100,64.331511
-283.564928,100,66.548908
-324.186159,100,68.798582
-382.738257,100,71.046865
-312.127873,100,73.315464
-294.030176,100,75.56993
-287.682245,100,77.83066
-277.710859,100,80.005495
-274.249528,100,82.243092
-253.395275,100,84.50562
-272.215911,100,86.733021
-213.914379,100,89.051865
-234.635247,100,91.26493
-276.006055,100,93.565024
-283.923562,100,95.88921
-377.609525,100,98.087335
-292.604358,100,100.441168
-287.117548,100,102.759753
-273.35825,100,105.267425
-251.981622,100,107.595311
104.527142,36,108.486835
167.126566,13,108.831676
-260.233529,100,111.054236
-266.428736,100,113.314928
-133.081421,100,115.636338
174.028485,12,115.934855
-253.481335,100,118.18576
-246.328492,100,120.420077
-401.28899,100,122.703624
-453.839841,100,125.116079
-437.472873,100,127.486225
-238.779171,100,129.79448
-254.544029,100,132.034551
-311.051272,100,134.419714
-142.175749,100,136.701398
-407.391023,100,139.036741
-409.563564,100,141.364978
-141.701859,100,143.679933
-253.611702,100,145.903244
-126.615618,100,148.193349
-415.083037,100,150.638735
-395.706758,100,152.929152
-315.466174,100,155.397722
-223.74667,100,157.647687
108.240342,37,158.532106
-270.055087,100,160.780315
-118.489074,100,163.063616
-248.428989,100,165.326943
-245.45616,100,167.586388
-238.616352,100,169.80036
-336.311014,100,172.373334
-271.898702,100,174.644333
-337.113027,100,177.064507
125.612495,36,177.931323
-230.145314,100,180.194971
-235.476567,100,182.472093
-232.798829,100,184.685381
-228.380897,100,186.902663
-417.794929,100,189.163991
-419.100353,100,191.467486
136.292794,30,192.21426
-482.233355,100,194.643667
-465.347601,100,197.087407
-417.421016,100,199.319718
-425.120825,100,201.535933
-239.296115,100,203.802644
-109.056777,100,206.097314
-282.386594,100,208.33633
-283.074718,100,210.54734
-416.152687,100,212.830105
-486.739971,100,215.360408
-98.82388,100,217.641029
-226.063619,100,219.981903
-262.022092,100,222.380567
-415.419945,100,224.627366
